Las columnas son: 
Iteración 	Energía Potencial	Energia Cínetica	Energia Mecanica total
1 	2770151.3 	1156344.1 	3926495.4 	
2 	2763434.5 	1152763.1 	3916197.7 	
3 	2761355.1 	1145387.6 	3906742.7 	
4 	2762749.2 	1142004.5 	3904753.7 	
5 	2754153.5 	1185688.9 	3939842.4 	
6 	2749793.9 	1185413.3 	3935207.2 	
7 	2750649.5 	1184826.6 	3935476.1 	
8 	2751973.5 	1181323.4 	3933296.8 	
9 	2751400.5 	1182980.7 	3934381.2 	
10 	2751115.7 	1179741.0 	3930856.7 	
11 	2752835.5 	1175040.2 	3927875.7 	
12 	2749715.8 	1183373.4 	3933089.1 	
13 	2748300.1 	1179943.3 	3928243.4 	
14 	2748045.2 	1176461.6 	3924506.8 	
15 	2745490.8 	1175273.3 	3920764.1 	
16 	2748474.0 	1171356.4 	3919830.4 	
17 	2744318.5 	1190278.9 	3934597.4 	
18 	2744846.2 	1196707.0 	3941553.1 	
19 	2754192.2 	1200834.8 	3955027.0 	
20 	2745234.0 	1302312.2 	4047546.1 	
21 	2747282.1 	1300287.7 	4047569.7 	
22 	2753469.9 	1300386.5 	4053856.4 	
23 	2748518.2 	1333267.3 	4081785.5 	
24 	2743877.4 	1333814.9 	4077692.3 	
25 	2744754.8 	1329773.1 	4074527.9 	
26 	2748326.9 	1331288.6 	4079615.5 	
27 	2750456.4 	1346350.8 	4096807.2 	
28 	2748763.5 	1358809.6 	4107573.1 	
29 	2751746.7 	1359266.4 	4111013.1 	
30 	2756813.3 	1361118.6 	4117931.9 	
31 	2753765.9 	1367040.0 	4120806.0 	
32 	2754504.7 	1365296.5 	4119801.2 	
33 	2753942.0 	1367083.0 	4121025.0 	
34 	2757699.0 	1363765.2 	4121464.2 	
35 	2756905.6 	1376111.5 	4133017.0 	
36 	2749972.6 	1426767.1 	4176739.7 	
37 	2749206.9 	1424366.0 	4173573.0 	
38 	2751942.4 	1420685.1 	4172627.6 	
39 	2753587.5 	1429173.8 	4182761.3 	
40 	2759908.6 	1432293.3 	4192201.9 	
41 	2752266.1 	1452201.0 	4204467.1 	
42 	2755205.7 	1450398.9 	4205604.5 	
43 	2746358.9 	1485147.2 	4231506.1 	
44 	2747224.5 	1482991.3 	4230215.8 	
45 	2754521.8 	1483787.5 	4238309.3 	
46 	2753674.5 	1517611.4 	4271285.8 	
47 	2754375.5 	1520845.1 	4275220.5 	
48 	2750132.8 	1516792.8 	4266925.6 	
49 	2747778.5 	1512942.5 	4260721.0 	
50 	2744495.7 	1513545.5 	4258041.2 	
51 	2745852.2 	1513486.1 	4259338.3 	
52 	2739889.9 	1517664.4 	4257554.2 	
53 	2740015.5 	1512039.5 	4252055.0 	
54 	2742637.0 	1514280.0 	4256917.0 	
55 	2740958.0 	1511916.4 	4252874.4 	
56 	2741964.0 	1507926.5 	4249890.6 	
57 	2746257.3 	1509174.3 	4255431.6 	
58 	2781686.3 	1512682.5 	4294368.9 	
59 	2739666.2 	7920245.3 	10659911.5 	
60 	2729815.7 	7913321.9 	10643137.6 	
61 	2721947.3 	7897127.5 	10619074.8 	
62 	2715241.7 	7896557.5 	10611799.3 	
63 	2716757.6 	7888596.5 	10605354.1 	
64 	2708322.7 	7898387.9 	10606710.7 	
65 	2702910.2 	7901271.9 	10604182.1 	
66 	2704066.8 	7898337.2 	10602404.0 	
67 	2706825.3 	7898808.5 	10605633.8 	
68 	2706985.9 	7901585.5 	10608571.3 	
69 	2705120.2 	7908289.5 	10613409.7 	
70 	2700687.4 	7908916.9 	10609604.3 	
71 	2694800.4 	7899026.1 	10593826.5 	
72 	2694538.2 	7893151.2 	10587689.4 	
73 	2691562.7 	7893430.8 	10584993.5 	
74 	2690437.2 	7887966.0 	10578403.2 	
75 	2697719.2 	7883522.0 	10581241.2 	
76 	2682305.5 	8451084.3 	11133389.7 	
77 	2679637.7 	8445147.4 	11124785.2 	
78 	2675589.4 	8442194.2 	11117783.5 	
79 	2671699.8 	8433457.5 	11105157.3 	
80 	2670219.7 	8427870.6 	11098090.3 	
81 	2664506.7 	8421463.2 	11085969.9 	
82 	2664516.8 	8414884.8 	11079401.6 	
83 	2660759.5 	8432455.0 	11093214.5 	
84 	2650322.3 	8488620.6 	11138942.9 	
85 	2647874.1 	8482178.0 	11130052.1 	
86 	2642821.0 	8482787.8 	11125608.8 	
87 	2641512.9 	8473887.4 	11115400.3 	
88 	2633556.2 	8489182.9 	11122739.0 	
89 	2632083.3 	8480928.2 	11113011.5 	
90 	2628226.7 	8482528.0 	11110754.7 	
91 	2621817.2 	8478617.5 	11100434.7 	
92 	2616799.8 	8468944.9 	11085744.7 	
93 	2614462.4 	8460192.7 	11074655.1 	
94 	2615478.5 	8460684.9 	11076163.5 	
95 	2610683.2 	8465755.7 	11076439.0 	
96 	2603858.2 	8467990.0 	11071848.2 	
97 	2600134.2 	8465436.6 	11065570.8 	
98 	2597235.1 	8460056.7 	11057291.8 	
99 	2593893.8 	8457658.1 	11051551.9 	
100 	2590407.2 	8451816.7 	11042223.9 	
101 	2587283.2 	8445569.1 	11032852.2 	
102 	2590324.7 	8440997.3 	11031322.1 	
103 	2580880.5 	8503515.7 	11084396.2 	
104 	2583451.8 	8503754.8 	11087206.6 	
105 	2575678.4 	8509395.3 	11085073.7 	
106 	2569651.6 	8497666.1 	11067317.7 	
107 	2566376.8 	8491921.6 	11058298.4 	
108 	2563455.2 	8486985.8 	11050441.0 	
109 	2559578.6 	8481471.6 	11041050.2 	
110 	2558833.9 	8475689.6 	11034523.4 	
111 	2554048.8 	8485537.5 	11039586.3 	
112 	2546720.1 	8478417.4 	11025137.4 	
113 	2539727.1 	8470785.3 	11010512.4 	
114 	2534083.7 	8463403.2 	10997487.0 	
115 	2529010.7 	8456739.9 	10985750.6 	
116 	2522128.2 	8450285.4 	10972413.7 	
117 	2515845.5 	8441789.4 	10957634.9 	
118 	2510600.6 	8435164.9 	10945765.5 	
119 	2504784.2 	8431269.5 	10936053.8 	
120 	2497913.7 	8417193.6 	10915107.2 	
121 	2498386.3 	8410184.6 	10908571.0 	
122 	2487563.0 	8441770.5 	10929333.5 	
123 	2486072.9 	8435520.1 	10921593.0 	
124 	2482225.8 	8434987.9 	10917213.6 	
125 	2473125.2 	8435436.1 	10908561.3 	
126 	2468623.9 	8427235.7 	10895859.6 	
127 	2463210.4 	8422721.7 	10885932.0 	
128 	2459996.4 	8416201.5 	10876197.9 	
129 	2458596.9 	8413797.6 	10872394.5 	
130 	2454610.7 	8417220.3 	10871831.0 	
131 	2456925.2 	8416172.8 	10873098.1 	
132 	2453811.7 	8420311.7 	10874123.3 	
133 	2458834.6 	8413591.8 	10872426.4 	
134 	2447055.0 	8552688.6 	10999743.5 	
135 	2442256.1 	8559136.7 	11001392.8 	
136 	2430935.6 	8568325.5 	10999261.0 	
137 	2425979.9 	8560937.8 	10986917.6 	
138 	2423373.0 	8555754.3 	10979127.2 	
139 	2424238.1 	8553113.2 	10977351.3 	
140 	2411118.6 	8701039.2 	11112157.7 	
141 	2405127.5 	8694972.3 	11100099.8 	
142 	2398853.1 	8684919.4 	11083772.4 	
143 	2394433.3 	8677856.7 	11072290.0 	
144 	2392059.3 	8671597.6 	11063656.9 	
145 	2386009.5 	8673424.1 	11059433.6 	
146 	2386500.4 	8668009.0 	11054509.4 	
147 	2379531.4 	8704798.1 	11084329.6 	
148 	2377573.9 	8701802.2 	11079376.1 	
149 	2376909.1 	8695878.4 	11072787.6 	
150 	2370632.7 	8705636.7 	11076269.4 	
151 	2369849.5 	8701142.3 	11070991.8 	
152 	2356149.5 	8790422.5 	11146572.0 	
153 	2354146.5 	8786228.9 	11140375.4 	
154 	2348230.7 	8803709.4 	11151940.1 	
155 	2336001.0 	8921748.4 	11257749.4 	
156 	2326573.9 	8910557.7 	11237131.6 	
157 	2320625.6 	8902512.9 	11223138.5 	
158 	2314185.7 	8894247.9 	11208433.6 	
159 	2305045.9 	8886008.0 	11191053.9 	
160 	2297547.0 	8875938.4 	11173485.4 	
161 	2290807.7 	8868035.4 	11158843.1 	
162 	2283597.8 	8860098.7 	11143696.5 	
163 	2275939.6 	8851228.6 	11127168.2 	
164 	2268286.6 	8842536.7 	11110823.3 	
165 	2261221.5 	8833805.9 	11095027.4 	
166 	2255361.4 	8826444.7 	11081806.1 	
167 	2247232.7 	8815960.0 	11063192.7 	
168 	2239447.9 	8808279.9 	11047727.8 	
169 	2233423.9 	8799728.9 	11033152.9 	
170 	2230932.4 	8794222.6 	11025155.0 	
171 	2226341.5 	8790045.5 	11016387.0 	
172 	2223340.8 	8783036.4 	11006377.2 	
173 	2214355.4 	8781204.2 	10995559.6 	
174 	2205027.1 	8778960.2 	10983987.3 	
175 	2198996.6 	8770336.3 	10969332.9 	
176 	2195355.6 	8764260.7 	10959616.3 	
177 	2193941.5 	8760720.7 	10954662.3 	
178 	2184177.3 	8756564.3 	10940741.5 	
179 	2178213.3 	8747827.2 	10926040.5 	
180 	2175342.3 	8741055.2 	10916397.5 	
181 	2170057.5 	8744039.7 	10914097.2 	
182 	2168044.2 	8745148.6 	10913192.8 	
183 	2160560.9 	8775858.7 	10936419.6 	
184 	2158072.0 	8772370.6 	10930442.6 	
185 	2157888.1 	8769157.0 	10927045.1 	
186 	2151836.4 	8773301.4 	10925137.8 	
187 	2146011.0 	8762472.2 	10908483.2 	
188 	2140679.1 	8755023.0 	10895702.1 	
189 	2136250.6 	8749188.8 	10885439.4 	
190 	2132767.7 	8744496.3 	10877264.0 	
191 	2130291.6 	8740548.6 	10870840.2 	
192 	2136383.5 	8737777.3 	10874160.8 	
193 	2125654.6 	8957540.6 	11083195.2 	
194 	2121645.9 	8951530.9 	11073176.8 	
195 	2118609.8 	8946895.6 	11065505.4 	
196 	2115139.7 	8942179.4 	11057319.0 	
197 	2108342.7 	8940526.3 	11048869.0 	
198 	2107755.5 	8932172.5 	11039928.0 	
199 	2097813.7 	9042541.2 	11140354.8 	
200 	2092512.2 	9037048.5 	11129560.6 	
201 	2082257.3 	9030833.0 	11113090.3 	
202 	2075397.0 	9020451.7 	11095848.7 	
203 	2070731.4 	9014319.7 	11085051.1 	
204 	2066361.4 	9009451.0 	11075812.4 	
205 	2062013.5 	9003590.0 	11065603.4 	
206 	2056461.8 	9000043.4 	11056505.2 	
207 	2051846.8 	8993767.8 	11045614.5 	
208 	2048145.4 	8988894.4 	11037039.8 	
209 	2045024.8 	8985144.1 	11030168.9 	
210 	2042335.5 	8980801.7 	11023137.2 	
211 	2037444.0 	8978580.5 	11016024.5 	
212 	2036673.1 	8973094.8 	11009767.9 	
213 	2030871.1 	8982572.1 	11013443.2 	
214 	2026936.5 	8976234.3 	11003170.8 	
215 	2024763.1 	8971832.0 	10996595.0 	
216 	2022260.0 	8970307.3 	10992567.3 	
217 	2019122.2 	8969734.9 	10988857.1 	
218 	2015435.4 	8962833.8 	10978269.3 	
219 	2014669.1 	8959192.1 	10973861.2 	
220 	2010825.2 	8960823.8 	10971649.0 	
221 	2009155.5 	8956306.7 	10965462.2 	
222 	2005596.3 	8953092.5 	10958688.8 	
223 	2004860.4 	8948987.1 	10953847.4 	
224 	2001256.7 	8951963.6 	10953220.2 	
225 	1998469.0 	8947344.7 	10945813.7 	
226 	1994207.0 	8942934.2 	10937141.2 	
227 	1988605.9 	8935421.4 	10924027.3 	
228 	1985831.7 	8929103.4 	10914935.1 	
229 	1981644.1 	8932314.1 	10913958.2 	
230 	1980131.1 	8930268.8 	10910399.9 	
231 	1975324.6 	8928383.4 	10903708.1 	
232 	1975215.8 	8925496.9 	10900712.7 	
233 	1971803.6 	8926926.5 	10898730.1 	
234 	1969028.4 	8922125.5 	10891153.9 	
235 	1967840.6 	8919112.9 	10886953.6 	
236 	1968406.7 	8919446.2 	10887852.9 	
237 	1963313.0 	8911872.4 	10875185.4 	
238 	1960421.4 	8906425.2 	10866846.6 	
239 	1959588.8 	8903553.8 	10863142.6 	
240 	1962008.3 	8904565.3 	10866573.7 	
241 	1956906.1 	8895386.1 	10852292.3 	
242 	1954614.6 	8890429.0 	10845043.6 	
243 	1953631.1 	8887388.6 	10841019.7 	
244 	1950474.8 	8889137.8 	10839612.6 	
245 	1949738.4 	8886681.3 	10836419.8 	
246 	1951282.8 	8886446.7 	10837729.5 	
247 	1954290.0 	8889430.0 	10843720.1 	
248 	1944866.0 	8985159.2 	10930025.2 	
249 	1941200.4 	8986878.0 	10928078.3 	
250 	1939253.5 	8986835.3 	10926088.7 	
251 	1937510.4 	8983564.4 	10921074.7 	
252 	1935324.6 	8979293.4 	10914618.0 	
253 	1932101.9 	8975567.8 	10907669.7 	
254 	1930142.2 	8971955.9 	10902098.1 	
255 	1929112.2 	8970668.4 	10899780.6 	
256 	1929455.0 	8964858.5 	10894313.5 	
257 	1923614.7 	8977567.2 	10901181.9 	
258 	1923789.9 	8975827.7 	10899617.6 	
259 	1922829.2 	8975675.5 	10898504.7 	
260 	1923835.7 	8973632.3 	10897468.0 	
261 	1921258.1 	8981234.7 	10902492.8 	
262 	1921609.0 	8980344.2 	10901953.2 	
263 	1921184.7 	8979011.8 	10900196.5 	
264 	1921651.3 	8977335.4 	10898986.7 	
265 	1918256.2 	8978022.5 	10896278.7 	
266 	1926147.7 	8974859.4 	10901007.2 	
267 	1913289.2 	9714284.6 	11627573.8 	
268 	1912700.5 	9712220.8 	11624921.3 	
269 	1910108.7 	9713528.3 	11623637.0 	
270 	1909872.6 	9711026.3 	11620898.9 	
271 	1909550.3 	9712251.8 	11621802.2 	
272 	1908056.4 	9709129.7 	11617186.1 	
273 	1907426.6 	9707609.5 	11615036.1 	
274 	1906251.9 	9705882.1 	11612134.0 	
275 	1905850.2 	9703999.6 	11609849.8 	
276 	1906623.5 	9703724.2 	11610347.6 	
277 	1905384.0 	9703133.1 	11608517.1 	
278 	1902411.7 	9703238.6 	11605650.3 	
279 	1901338.8 	9700252.5 	11601591.4 	
280 	1901883.1 	9699237.5 	11601120.6 	
281 	1904978.2 	9700216.3 	11605194.5 	
282 	1906161.7 	9705272.7 	11611434.4 	
283 	1915010.5 	9705277.0 	11620287.5 	
284 	1904945.1 	10324746.7 	12229691.8 	
285 	1900038.4 	10333532.8 	12233571.2 	
286 	1899811.7 	10332158.6 	12231970.3 	
287 	1897941.6 	10330909.2 	12228850.8 	
288 	1894033.7 	10326578.0 	12220611.7 	
289 	1891745.1 	10321044.2 	12212789.3 	
290 	1892549.3 	10318778.8 	12211328.0 	
291 	1887165.7 	10329927.1 	12217092.9 	
292 	1886276.7 	10328325.1 	12214601.9 	
293 	1883101.9 	10326371.9 	12209473.8 	
294 	1881635.9 	10323180.6 	12204816.5 	
295 	1882546.3 	10322222.0 	12204768.4 	
296 	1880259.5 	10324434.0 	12204693.5 	
297 	1881029.7 	10323078.0 	12204107.7 	
298 	1885089.6 	10324976.0 	12210065.6 	
299 	1884507.5 	10328980.8 	12213488.4 	
300 	1879831.2 	10328277.1 	12208108.3 	
301 	1878165.7 	10324837.8 	12203003.5 	
302 	1877021.9 	10322855.4 	12199877.4 	
303 	1876190.2 	10320876.4 	12197066.6 	
304 	1875245.0 	10319439.4 	12194684.4 	
305 	1874607.9 	10317602.2 	12192210.1 	
306 	1877168.5 	10317189.0 	12194357.5 	
307 	1874882.1 	10325441.5 	12200323.5 	
308 	1878447.8 	10326224.4 	12204672.2 	
309 	1879433.8 	10338364.3 	12217798.1 	
310 	1877804.9 	10346507.9 	12224312.8 	
311 	1879701.6 	10347430.0 	12227131.6 	
312 	1877702.2 	10348524.5 	12226226.7 	
313 	1876810.1 	10346479.7 	12223289.8 	
314 	1875574.5 	10344881.3 	12220455.8 	
315 	1874604.9 	10342915.7 	12217520.6 	
316 	1874975.5 	10342137.2 	12217112.8 	
317 	1876973.1 	10342930.8 	12219903.9 	
318 	1880068.1 	10345221.5 	12225289.6 	
319 	1879865.8 	10349648.7 	12229514.5 	
320 	1881065.0 	10349045.8 	12230110.8 	
321 	1882407.5 	10350215.8 	12232623.3 	
322 	1883628.6 	10350654.5 	12234283.1 	
323 	1885815.8 	10351666.9 	12237482.7 	
324 	1885040.3 	10352995.0 	12238035.3 	
325 	1885647.2 	10352278.6 	12237925.8 	
326 	1887011.5 	10352588.9 	12239600.4 	
327 	1888857.8 	10353283.4 	12242141.2 	
328 	1890397.3 	10355720.5 	12246117.8 	
329 	1892910.4 	10356807.2 	12249717.6 	
330 	1893510.1 	10358352.5 	12251862.6 	
331 	1894352.7 	10356180.2 	12250532.9 	
332 	1893683.6 	10358120.6 	12251804.2 	
333 	1893562.2 	10355574.9 	12249137.0 	
334 	1894536.0 	10355518.8 	12250054.8 	
335 	1895993.1 	10356278.4 	12252271.5 	
336 	1897711.8 	10357408.1 	12255119.9 	
337 	1900171.4 	10358659.5 	12258830.9 	
338 	1905793.5 	10362013.7 	12267807.2 	
339 	1906808.4 	10371313.3 	12278121.8 	
340 	1905516.9 	10381248.9 	12286765.8 	
341 	1910607.4 	10382875.6 	12293483.0 	
342 	1910508.8 	10401294.0 	12311802.8 	
343 	1913500.3 	10404676.8 	12318177.1 	
344 	1914302.9 	10404612.0 	12318914.9 	
345 	1915763.4 	10404620.9 	12320384.3 	
346 	1917696.7 	10405627.2 	12323323.9 	
347 	1918789.7 	10405199.5 	12323989.2 	
348 	1919771.6 	10407459.2 	12327230.8 	
349 	1921527.7 	10407047.3 	12328575.0 	
350 	1923047.1 	10410521.6 	12333568.7 	
351 	1923347.7 	10408890.2 	12332237.9 	
352 	1925078.6 	10409203.4 	12334281.9 	
353 	1925865.0 	10411591.6 	12337456.6 	
354 	1927227.0 	10410507.6 	12337734.7 	
355 	1928902.5 	10411592.7 	12340495.2 	
356 	1931294.9 	10413075.2 	12344370.1 	
357 	1933419.6 	10414900.9 	12348320.5 	
358 	1935904.7 	10415961.4 	12351866.1 	
359 	1939280.2 	10418054.4 	12357334.6 	
360 	1943652.5 	10420999.7 	12364652.2 	
361 	1941808.2 	10442643.0 	12384451.2 	
362 	1970792.9 	10444515.9 	12415308.8 	
